2773579581: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.000163831748423981], ['152117115 ADVANCED PROGRAMMING', -0.0001847305859851927], ['152118514 AĞ GÜVENLİĞİ', -0.0007231439428875344], ['152118035 NETWORK APPLICATIONS UE', -0.0010698700515308903], ['152117111 MOBİL PROGRAMLAMA', -0.00115131372649562]]
2662800065: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -1.5981257053633026e-06], ['152118513 SİSTEM PROGRAMLAMA', -0.0002621307974783696], ['152118514 AĞ GÜVENLİĞİ', -0.00032250021773994075], ['152117111 MOBİL PROGRAMLAMA', -0.00046568683977374706], ['152118035 NETWORK APPLICATIONS UE', -0.0006646681679300337]]
680294614: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -1.5981257053633026e-06], ['152118514 AĞ GÜVENLİĞİ', -0.0003958933956280672], ['152118035 NETWORK APPLICATIONS UE', -0.0006522766656568495], ['152117111 MOBİL PROGRAMLAMA', -0.0009183045135827596]]
1454810307: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00021112066969736307], ['152118514 AĞ GÜVENLİĞİ', -0.000730763644008132], ['152118035 NETWORK APPLICATIONS UE', -0.0009753231462129273], ['152117111 MOBİL PROGRAMLAMA', -0.0013157871159949941]]
3460213741: [['152117115 ADVANCED PROGRAMMING', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00014562822082131644], ['152118514 AĞ GÜVENLİĞİ', -0.00016858203670180977], ['152117111 MOBİL PROGRAMLAMA', -0.00019600425345234717], ['152118035 NETWORK APPLICATIONS UE', -0.00040031344788033364]]
3101767336: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -1.1415183609737875e-06], ['152118513 SİSTEM PROGRAMLAMA', -0.00018723628391312114], ['152118514 AĞ GÜVENLİĞİ', -0.0003784675733119554], ['152117111 MOBİL PROGRAMLAMA', -0.0006559317954162568], ['152118035 NETWORK APPLICATIONS UE', -0.000713297388148697]]
234653585: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0003265598897411586], ['152118513 SİSTEM PROGRAMLAMA', -0.00038808964428874214], ['152118514 AĞ GÜVENLİĞİ', -0.0009198063342997877], ['152118035 NETWORK APPLICATIONS UE', -0.0012871638289454139], ['152117111 MOBİL PROGRAMLAMA', -0.001438037490539189]]
779454362: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0006925514554538433], ['152118513 SİSTEM PROGRAMLAMA', -0.001413865240062352], ['152118514 AĞ GÜVENLİĞİ', -0.001459028008834612], ['152118035 NETWORK APPLICATIONS UE', -0.0016740457956851565], ['152117111 MOBİL PROGRAMLAMA', -0.002028710328520218]]
1303790514: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0002463074479802569], ['152118514 AĞ GÜVENLİĞİ', -0.000852557584676154], ['152118035 NETWORK APPLICATIONS UE', -0.0011378770039150818], ['152117111 MOBİL PROGRAMLAMA', -0.0015350849686608266]]
1970908016: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0005654593002542336], ['152118513 SİSTEM PROGRAMLAMA', -0.001204191981280832], ['152118035 NETWORK APPLICATIONS UE', -0.0012630348562045139], ['152118514 AĞ GÜVENLİĞİ', -0.0013706154261651042], ['152117111 MOBİL PROGRAMLAMA', -0.001891691304481441]]
2549129425: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00018723628391312114], ['152117115 ADVANCED PROGRAMMING', -0.00021112066969736307], ['152118514 AĞ GÜVENLİĞİ', -0.0008264502204428965], ['152118035 NETWORK APPLICATIONS UE', -0.0012227086303210175], ['152117111 MOBİL PROGRAMLAMA', -0.0013157871159949941]]
2864104566: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00021112066969736307], ['152118514 AĞ GÜVENLİĞİ', -0.000730763644008132], ['152118035 NETWORK APPLICATIONS UE', -0.0009753231462129273], ['152117111 MOBİL PROGRAMLAMA', -0.0013157871159949941]]
1029674514: [['152117115 ADVANCED PROGRAMMING', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.0002621307974783696], ['152118514 AĞ GÜVENLİĞİ', -0.0003034476660632576], ['152117111 MOBİL PROGRAMLAMA', -0.0003528076562142249], ['152118035 NETWORK APPLICATIONS UE', -0.0007205642061846006]]
2997066913: [['152117115 ADVANCED PROGRAMMING', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.0002621307974783696], ['152118514 AĞ GÜVENLİĞİ', -0.00034131559190546726], ['152117111 MOBİL PROGRAMLAMA', -0.0004526176738090126], ['152118035 NETWORK APPLICATIONS UE', -0.0006802878532294684]]
2134294565: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00018723628391312114], ['152117115 ADVANCED PROGRAMMING', -0.00021112066969736307], ['152118514 AĞ GÜVENLİĞİ', -0.0008264502204428965], ['152118035 NETWORK APPLICATIONS UE', -0.0012227086303210175], ['152117111 MOBİL PROGRAMLAMA', -0.0013157871159949941]]
2125534943: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00018723628391312114], ['152117115 ADVANCED PROGRAMMING', -0.00021112066969736307], ['152118514 AĞ GÜVENLİĞİ', -0.0008264502204428965], ['152118035 NETWORK APPLICATIONS UE', -0.0012227086303210175], ['152117111 MOBİL PROGRAMLAMA', -0.0013157871159949941]]
3781038388: [['152117111 MOBİL PROGRAMLAMA', 0.0], ['152117115 ADVANCED PROGRAMMING', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118514 AĞ GÜVENLİĞİ', -0.000167451508760838], ['152118513 SİSTEM PROGRAMLAMA', -0.000327663496847962], ['152118035 NETWORK APPLICATIONS UE', -0.00043292459718915783]]
113883116: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00021112066969736307], ['152118514 AĞ GÜVENLİĞİ', -0.000730763644008132], ['152118035 NETWORK APPLICATIONS UE', -0.0009753231462129273], ['152117111 MOBİL PROGRAMLAMA', -0.0013157871159949941]]
3502310847: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.000293970811870945], ['152118514 AĞ GÜVENLİĞİ', -0.0008345300908801145], ['152118035 NETWORK APPLICATIONS UE', -0.0010471239145193908], ['152117111 MOBİL PROGRAMLAMA', -0.0013764151226192448]]
